LEAID,total_students,american_indian_alaskan_native_students,american_indian_alaskan_native_male_students,american_indian_alaskan_native_female_students,asian_hawaiian_native_pacific_islander_students,asian_hawaiian_native_pacific_islander_male_students,asian_hawaiian_native_pacific_islander_female_students,hispanic_students,hispanic_male_students,hispanic_female_students,black_non_hispanic_students,black_non_hispanic_male_students,black_non_hispanic_female_students,white_students,white_male_students,white_female_students
2200017,348,7,1,6,49,21,28,8,2,6,28,8,20,256,109,147
2200018,220,1,1,0,2,1,1,5,4,1,122,61,61,90,50,40
2200019,55,0,0,0,1,0,1,0,0,0,27,14,13,27,17,10
2200020,44,0,0,0,0,0,0,0,0,0,9,3,6,35,21,14
2200022,951,3,2,1,30,14,16,25,9,16,119,56,63,774,399,375
2200023,470,0,0,0,1,1,0,0,0,0,469,265,204,0,0,0
2200025,260,0,0,0,0,0,0,0,0,0,260,138,122,0,0,0
2200026,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2200030,9499,11,6,5,18,11,7,64,31,33,2705,1358,1347,6701,3440,3261
2200032,354,1,0,1,3,1,2,4,3,1,59,34,25,287,148,139
2200033,374,0,0,0,4,1,3,36,20,16,212,92,120,122,56,66
2200035,535,18,7,11,2,0,2,1,1,0,124,60,64,390,181,209
2200036,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2200037,187,0,0,0,0,0,0,6,3,3,92,59,33,89,49,40
2200038,372,0,0,0,1,0,1,10,3,7,28,16,12,333,184,149
2200039,3230,2,1,1,20,9,11,17,9,8,1230,599,631,1961,1020,941
2200040,2261,1,1,0,5,5,0,11,4,7,1965,987,978,279,145,134
2200041,918,2,0,2,20,11,9,62,30,32,414,223,191,420,229,191
2200042,388,0,0,0,0,0,0,17,7,10,370,166,204,1,1,0
2200043,261,0,0,0,1,0,1,1,1,0,255,145,110,4,1,3
2200060,4299,33,20,13,22,12,10,42,22,20,1026,541,485,3176,1642,1534
2200090,16363,44,20,24,96,58,38,510,258,252,4674,2357,2317,11039,5739,5300
2200120,4331,1,1,0,16,6,10,48,26,22,1832,948,884,2434,1250,1184
2200150,6510,53,28,23,25,7,16,37,21,14,2818,1463,1353,3569,1873,1694
2200180,6153,43,19,24,43,18,25,78,45,33,937,515,422,5052,2596,2456
2200210,2422,4,3,1,2,1,1,16,11,5,1431,716,715,969,511,458
2200240,2914,1,1,0,23,7,16,25,10,15,1595,826,769,1270,619,651
2200270,18864,46,25,17,259,145,110,627,316,307,5820,2892,2924,12096,6148,5944
2200300,43520,72,29,39,368,196,168,434,225,205,27257,13683,13570,15373,7809,7560
2200330,32447,66,40,24,210,111,97,284,144,138,11110,5638,5470,20769,10601,10166
2200360,1871,0,0,0,5,2,3,17,11,6,355,184,171,1494,784,710
2200390,1797,2,1,1,6,4,2,48,21,27,97,60,37,1644,841,803
2200420,1754,0,0,0,0,0,0,9,5,4,669,334,335,1076,551,525
