total_students,total_schools,teachers_total,total_revenue,total_federal_revenue,total_state_revenue,total_local_revenue,total_expenditure,total_salaries,white_students,lowest_grade,highest_grade,metro_micro,charter_status,state_name,LEAID,NAME,exist_five_years
1260.0,b'3    ',b'84.5   ',9608000,1185000,6071000,2352000,9143000,5232000,1042.0,KG,12,1,3,alabama,0101640,GENEVA CITY SCHOOL DIST,True
2701.0,b'9    ',b'188    ',20593000,2611000,12483000,5499000,19623000,9685000,2170.0,KG,12,1,3,alabama,0101660,GENEVA CO SCH DIST,True
1610.0,b'5    ',b'112    ',15114000,3186000,7607000,4321000,13128000,6874000,0.0,KG,12,1,3,alabama,0101680,GREENE CO SCH DIST,True
1789.0,b'4    ',b'124.3  ',14505000,1086000,8038000,5381000,16889000,8163000,1465.0,KG,12,2,3,alabama,0101690,GUNTERSVILLE CITY SCHOOL DIST,True
3164.0,b'10   ',b'218.4  ',24323000,4493000,16034000,3796000,23272000,12817000,818.0,PK,12,1,3,alabama,0101710,HALE CO SCH DIST,True
1695.0,b'3    ',b'113.7  ',12276000,1455000,7609000,3212000,11572000,6243000,1610.0,PK,12,0,3,alabama,0101720,HALEYVILLE CITY SCH DIST,True
3046.0,b'6    ',b'-1     ',23851000,1350000,14483000,8018000,21827000,13102000,2824.0,PK,12,1,3,alabama,0101730,HARTSELLE CTY SCH DIST,True
2713.0,b'7    ',b'178    ',23019000,2845000,15932000,4242000,26979000,10605000,1441.0,PK,12,1,3,alabama,0101740,HENRY CO SCH DIST,True
3230.0,b'5    ',b'266    ',37899000,1194000,10661000,26044000,42745000,18805000,2032.0,PK,12,1,3,alabama,0101760,HOMEWOOD CITY SCHOOL DIST,True
6216.0,b'11   ',b'391.8  ',42518000,4183000,25935000,12400000,39472000,21269000,4961.0,KG,12,1,3,alabama,0101770,HOUSTON CO SCH DIST,True
22399.0,b'52   ',b'-1     ',199692000,18773000,88570000,92349000,211814000,108639000,11333.0,PK,12,1,3,alabama,0101800,HUNTSVILLE CITY SCH DIST,True
5985.0,b'19   ',b'439    ',47766000,5583000,29457000,12726000,48186000,25002000,5002.0,PK,12,2,3,alabama,0101830,JACKSON COUNTY SCHOOL DISTRICT,True
1704.0,b'2    ',b'103.2  ',11025000,890000,7584000,2551000,10867000,6135000,1242.0,KG,12,1,3,alabama,0101860,JACKSONVILLE CITY SCHOOL DISTRICT,True
2696.0,b'6    ',b'176    ',22060000,1801000,12132000,8127000,20107000,11699000,2079.0,PK,12,1,3,alabama,0101890,JASPER CITY SCH DIST,True
39432.0,b'61   ',b'-1     ',301595000,23618000,170305000,107672000,278069000,151181000,26038.0,PK,12,1,3,alabama,0101920,JEFFERSON COUNTY BOARD OF EDUCATION,True
2401.0,b'5    ',b'161    ',19334000,2546000,12932000,3856000,19811000,9768000,1933.0,KG,12,0,3,alabama,0101950,LAMAR COUNTY SCHOOL DISTRICT,True
988.0,b'3    ',b'72     ',7554000,1298000,4678000,1578000,7672000,4447000,139.0,PK,12,2,3,alabama,0101980,LANETT CTY SCH DIST,True
