LEAID,NAME,cluster,label
2507410,MASCONOMET REG SCH DIST,0,False
4000085,,4,True
3904518,ADA EXEMPTED SCH DIST,4,False
3621120,NORTH MERRICK UNION FREE SCHOOL DIST,2,False
0513080,GREENE CO TECH SCH DIST,0,False
0509150,MAGAZINE SCH DIST,0,False
0400282,HARVEST POWER COMMUNITY DEVELOPMENT,0,False
4814250,CLAUDE IND SCH DIST 902,4,False
3408430,LEBANON BORO SCH DIST,2,False
1800360,BARTHOLOMEW CONS SCHOOL CORP,4,False
0504080,CEDARVILLE SCH DIST 44,0,False
4800232,CEDARS INTERNATIONAL ACAD,0,False
06D0017,SANTA BARBARA COUNTY SELPA JPA,2,True
1722740,LEYDEN COMMUNITY HIGH SCHOOL DISTRIC,2,False
0629850,PARAMOUNT UNIF SCH DIST,0,False
4503660,SPARTANBURG CO SCHOOL DISTRICT 7,4,False
5007320,SHELBURNE TOWN SCH DIST,0,False
3013395,HARLEM ELEM DISTRICT 12,4,False
4644940,TRI VALLEY SCH DIST 49-6,4,False
1700026,EXC CHILDREN HAVE OPPORTUNITIES,2,True
5306780,POMEROY SCH DIST 110,0,False
3904738,SOUTHWEST LOCAL SCH DIST,4,False
3904875,HUBER HEIGHTS CTY SCHOOLS,4,False
3900147,CANTON CITY SCH DIGITAL ACDMY,0,True
0629220,OXNARD ELEM SCH DIST,4,False
5306570,PASCO SCH DIST 1,0,False
3306990,WENTWORTH TOWN SCH DIST,4,False
3609540,EAST AURORA UNION FREE SCHOOL DIST,2,False
1001680,SUSSEX COUNTY VOCATIONAL TECHNICAL S,4,False
4200057,RENAISSANCE CS,2,True
1801050,BROWNSTOWN CENTRAL CMNTY SCHOOL CORP,4,False
4809300,BALLINGER IND SCH DIST 901,4,False
0903512,EDUCATION CONNECTION,4,False
4838610,SALTILLO IND SCH DIST 909,4,False
3904860,MIAMI EDUCATIONAL SERVICE CENTER,2,False
5309000,TOUCHET SCH DIST 300,4,False
2200390,CAMERON PARISH SCH DIST,4,False
3500240,BLOOMFIELD SCH DIST,0,False
1100018,OPTIONS PUBLIC CHARTER SCHOOL AGY,2,False
4203450,BERMUDIAN SPRINGS SCHOOL DIST,4,False
2930270,THAYER SCH DIST R2,4,False
0200270,HAINES BOROUGH SCHOOL DISTRICT,4,False
5101290,FALLS CHURCH CITY SCHOOLS,2,False
3402400,BUENA REGIONAL SCH DIST,4,False
2100540,BOURBON CO SCH DIST,0,False
2501650,ABINGTON TOWN SCHS,4,False
4018090,LONE GROVE SCH DIST 32,0,False
4104590,ELGIN SCH DIST 23,0,False
4800128,GULF SHORES ACADEMY,0,True
3402280,BRIDGEWATER-RARITAN REG SCH DT,2,False
3100059,,4,False
2905310,BLUE SPRINGS SCH DIST R-4,2,False
2006580,GOODLAND UNIF SCH DIST 352,0,False
4103960,DAYS CREEK SCH DIST 15,0,False
3900048,THE ISUS INSTITUTE OF CONSTRUCTION T,0,False
1200180,BROWARD CO SCHOOL DIST,4,False
4105670,GLIDE SCH DIST 12,4,False
4818900,FABENS IND SCH DISTRICT 903,0,False
2009900,NEODESHA UNIF SCH DIST 461,0,False
4612000,CHAMBERLAIN SCH DIST 7-1,4,False
5602820,FREMONT CO SCH DIST 21,0,False
1704230,ARMSTRONG TOWNSHIP HIGH SCHOOL DISTR,2,False
1906660,CENTER POINT-URBANA CSD,4,False
4012210,FRIEND SCH DIST 37,4,False
3700041,BRIDGES CHARTER SCHOOL,0,False
2802550,LEE COUNTY SCHOOL DISTRICT,4,False
4022830,OKTAHA SCH DIST 8,0,False
0800009,ADAMS CO BOCES,2,False
1100049,,4,False
2629790,RIVER VALLEY SCH DIST,4,False
4280070,READING-MULHENBERG AVTS,2,False
5308220,SOUTHSIDE SCH DIST 42,0,False
0603090,ARENA UNION ELEMENTARY/POINT ARENA J,2,False
0804800,JEFFERSON CO SCH DIST R-1,4,False
2101230,CLAY CO SCH DIST,0,False
2925350,PLEASANT HOPE SCH DIST 6,4,False
3904590,ALEXANDER LOCAL SCH DIST,4,False
4222400,SOUTHEAST DELCO SCH DIST,4,False
1809330,PRAIRIE SCHOOL TOWNSHIP,0,False
0805730,MOFFAT CO SCH DIST RE 1,2,False
2718390,LYND SCH DIST 415,0,False
4032370,WESTERN HTS SCH DIST 1-41,4,False
0610260,CULVER CITY UNI SCH DIST,0,False
4009480,DAVIDSON SCH DIST 9,4,False
3306390,STODDARD TOWN SCH DIST,2,False
3905029,STRASBURG FRANKLIN SCH DIST,4,False
1600002,LAKE PEND OREILLE SCHOOL DISTRICT 84,4,False
2501770,,4,True
2732880,SAUK RAPIDS SCH DIST 47,0,False
5103060,PRINCE EDWARD COUNTY SCHOOL,4,False
2103990,MCCREARY CO SCH DIST,0,False
4841130,SPRING CREEK IND SCH DIST 907,4,False
3018240,MELSTONE ELEM SCH DIST 64J,0,False
4600050,,4,True
2201350,RICHLAND PARISH SCH DIST,0,False
4844160,VIDOR IND SCH DIST 907,4,False
4829130,MARLIN IND SCH DISTRICT 903,4,False
3631260,WHITE PLAINS CITY SCH,2,False
3611430,FRANKLIN CENTRAL SCH DIST,4,False
3410740,MORRIS HILLS REGIONAL DIST,2,False
0400645,EXCEL EDUCATION CENTERS PRESCOTT VAL,0,False
2920050,MARCELINE SCH DIST R 5,4,False
5504200,ELEVA STRUM SCHOOL DISTRICT 1,4,False
2607140,BUCHANAN COMMUNITY SCHS,0,False
4032190,WELCH SCH DIST 17,4,False
4800126,,4,True
3303120,FREEDOM TOWN SCH DIST,2,False
1600006,,4,False
1100042,DC BILINGUAL PUBLIC CHARTER SCHOOL,2,False
2306870,JEFFERSON TOWN SCHS,2,False
2606900,BRIMLEY PUBLIC SCHOOLS,4,False
2606090,BLOOMFIELD HILLS SCH DIST,2,False
5099911,,4,False
0901620,GLASTONBURY TOWN SCHS,2,False
2102100,FULTON CO SCH DIST,0,False
1810170,SHOALS COMMUNITY SCHOOL CORP,4,False
3620670,NEWARK VALLEY CENTRAL SCHOOL DISTRIC,4,False
0618030,HUNTINGTON BCH CITY ELEM SCHOOL DIST,2,False
1721720,LAKE BLUFF ELEM SCHOOL DISTRICT 65,2,False
3817040,VELVA SPEC SCH DIST 1,4,False
5503270,DEERFIELD CMTY SCH DIST,4,False
3904970,HOPEWELL LOUDON LOCAL SCH DIST,2,False
4004630,BLACKWELL SCH DIST 45,0,False
3602520,ALBION CENTRAL SCH DIST,0,False
0200775,YUKON FLATS REGIONAL EDUCATIONAL ATT,0,False
2504650,EDGARTOWN TOWN SCHS,0,False
0807050,NORTH PARK SCH DIST R 1,4,False
3904954,ZANE TRACE SCHOOL DIST,4,False
0628680,ORCHARD ELEMENTARY SCH DIST,2,False
3702820,MADISON CO SCH,0,False
2306780,ISLE AU HAUT TOWN SCHS,2,False
1727080,MT CARROLL COMMUNITY UNIT SCHOOL DIS,4,True
4105160,FOREST GROVE SCH DIST 15,4,False
1905070,BONDURANT-FARRAR COMM SCH DIST,4,False
2508520,NEW SALEM TOWN SCHOOL,0,True
