LEAID,NAME,cluster,label
0805820,"LEWIS-PALMER CONSOLIDATED, SCHOOL DISTRICT NO. 38, IN THE CO",4,False
2625140,NEW BUFFALO AREA SCHOOLS,2,False
4280080,GREATER ALTOONA CTC,2,False
4009090,CROWDER,4,False
2905070,BILLINGS R-IV,4,False
5510470,NEW BERLIN SCHOOL DISTRICT,2,False
1302910,IRWIN COUNTY,4,False
5501800,BROWN DEER SCHOOL DISTRICT,2,False
1741700,WEST NORTHFIELD SD 31,2,False
2922560,NODAWAY-HOLT R-VII,2,False
3405880,GLASSBORO,4,False
2011310,RUSSELL COUNTY,4,False
0634440,SAN JACINTO UNIFIED,4,False
2313080,VANCEBORO SCHOOL DEPARTMENT,0,False
2008880,LITTLE RIVER,4,False
4028590,STERLING,4,False
1807410,NEW ALBANY-FLOYD CO CON SCH,4,False
0511970,ROGERS SCHOOL DISTRICT,4,False
0638430,SUNNYSIDE UNION ELEMENTARY,0,False
3400008,GREAT MEADOWS REGIONAL,2,False
4813200,CAYUGA ISD,4,False
1810920,SCHOOL TOWN OF SPEEDWAY,0,False
3600959,"NYC CHARTER HS-ARCHITECTURE, ENGINEERING, CONSTRUCTION INDUS",4,False
4813960,CHINA SPRING ISD,4,False
0640230,TWIN HILLS UNION ELEMENTARY,4,False
5900095,,4,False
1808820,M S D PERRY TOWNSHIP,4,False
0600132,SAN BERNARDINO COUNTY ROP,4,False
1735010,ROXANA CUSD 1,2,False
3027480,WARRICK ELEM,0,True
3900396,ZENITH ACADEMY,0,False
0905370,WOODSTOCK SCHOOL DISTRICT,2,False
4206430,CONEMAUGH VALLEY SD,0,False
3702280,HYDE COUNTY SCHOOLS,0,False
4824030,HUNTSVILLE ISD,4,False
1927000,SPIRIT LAKE COMM SCHOOL DISTRICT,2,False
4800043,BAY AREA CHARTER INC,0,False
4833340,OAKWOOD ISD,2,False
3307330,COE BROWN ACADEMY SCHOOL DISTRICT,4,False
2620610,LAKE CITY AREA SCHOOL DISTRICT,4,False
2928410,SMITHVILLE R-II,2,False
4835370,PORT ARANSAS ISD,2,False
3170140,ELM CREEK PUBLIC SCHOOLS,4,False
4844370,WALCOTT ISD,0,False
2508830,NORTH SHORE REGIONAL VOCATIONAL TECHNICAL,2,True
0400437,NAZLINI COMMUNITY SCHOOL  INC.,0,True
2718070,LESUEUR-HENDERSON SCHOOL DISTRICT,0,False
2010410,SANTA FE TRAIL,0,False
4206060,CLARION AREA SD,2,False
5307710,SEATTLE PUBLIC SCHOOLS,4,False
4830420,MEXIA ISD,0,False
2925710,RALLS CO. R-II,2,False
3406690,HANOVER TOWNSHIP,2,False
0805490,"MANITOU SPRINGS, SCHOOL DISTRICT NO. 14, IN THE COUNTY OF EL",4,False
4900210,DAVIS DISTRICT,4,False
4811850,BUCKHOLTS ISD,0,False
2504290,DOVER-SHERBORN,2,False
3609990,EAST SYRACUSE-MINOA CENTRAL SCHOOL DISTRICT,4,False
0800010,LARIMER BOCES,1,True
4626370,GARRETSON SCHOOL DISTRICT 49-4,4,False
1734470,ROCKDALE SD 84,2,False
2928920,ST. CHARLES R-VI,2,False
0604200,BAYSHORE ELEMENTARY,4,False
1700220,INTERMEDIATE SERVICE CENTER 1,4,False
1733870,RIVER TRAILS SD 26,2,False
2000013,TRIPLAINS,4,False
5510440,NEW AUBURN SCHOOL DISTRICT,2,False
4900150,CARBON DISTRICT,4,False
4701530,GRUNDY COUNTY,0,False
0200020,BERING STRAIT SCHOOL DISTRICT,0,False
3100072,LEYTON PUBLIC SCHOOLS,2,False
0642420,WHITMORE UNION ELEMENTARY,2,False
3816510,SELFRIDGE 8,0,False
0615090,GERBER UNION ELEMENTARY,0,False
3602920,AMHERST CENTRAL SCHOOL DISTRICT,2,False
3810180,KENMARE 28,4,False
1703090,ABINGDON CUSD 217,4,True
4825020,JUNCTION ISD,4,False
3615240,ILION CENTRAL SCHOOL DISTRICT,0,True
3412120,OCEANPORT BOROUGH,2,False
2928080,SHAWNEE R-III,2,False
4844810,WEBB CISD,2,False
3900106,DOHN COMMUNITY,0,False
1719970,IL VALLEY CENTRAL USD 321,4,False
4200086,RICHARD ALLEN PREPARATORY CS,2,False
3910022,LINCOLNVIEW LOCAL,4,False
3404830,ESSEX FELLS,2,False
1715480,FOREST RIDGE SD 142,4,False
1303120,JOHNSON COUNTY,4,False
0641160,VISALIA UNIFIED,0,False
3900130,ALLIANCE ACADEMY OF CINCINNATI,4,False
3405010,FAIRFIELD TOWNSHIP,2,False
2910020,COMMUNITY R-VI,4,False
3617430,LISBON CENTRAL SCHOOL DISTRICT,0,False
0400424,ROSEFIELD CHARTER ELEMENTARY SCHOOL  INC.,0,False
1714460,EVANSTON CCSD 65,2,False
5306060,OCEAN BEACH SCHOOL DISTRICT,4,False
0626220,MOUNTAIN VIEW ELEMENTARY,4,False
2624120,MONA SHORES PUBLIC SCHOOL DISTRICT,4,False
1304170,PIKE COUNTY,4,False
4200130,PHILADELPHIA MONTESSORI CS,2,False
2921940,NEW FRANKLIN R-I,4,False
3414160,ROCKLEIGH,2,False
0627120,NEWCASTLE ELEMENTARY,4,False
4400240,CRANSTON,2,False
4211190,GREENWOOD SD,4,False
2307440,LINCOLN PLT SCHOOL DEPARTMENT,4,False
5401650,WYOMING COUNTY SCHOOLS,4,False
0638070,STONY CREEK JOINT UNIFIED,0,False
5005730,MORETOWN SCHOOL DISTRICT,0,False
0905040,WESTPORT SCHOOL DISTRICT,2,False
4003210,ARKOMA,0,False
3200360,NYE COUNTY SCHOOL DISTRICT,4,False
1707320,BROOKFIELD LAGRANGE PARK SD 95,2,False
3904961,GREEN LOCAL,4,False
3904456,NORWALK CITY,4,False
4503540,SPARTANBURG 03,4,False
4100016,YAMHILL CARLTON SD 1,4,False
2105550,TODD COUNTY,0,False
3619530,MINERVA CENTRAL SCHOOL DISTRICT,2,False
0500022,NORTH CENTRAL ARK. EDUC COOP,4,False
3169840,DORCHESTER PUBLIC SCHOOLS,2,False
0803810,PARK SCHOOL DISTRICT R-3,2,False
4701740,HAWKINS COUNTY,4,False
2620310,KENT CITY COMMUNITY SCHOOLS,0,False
0400629,BACK-TO-BASICS SCHOOL,0,True
0805250,LAS ANIMAS SCHOOL DISTRICT NO. RE-1,4,False
3600137,MANHATTAN CHARTER SCHOOL,4,False
3900127,GLASS CITY ACADEMY,4,False
0643020,WOODLAKE UNION ELEMENTARY,0,True
5009180,WILLIAMSTOWN SCHOOL DISTRICT,0,False
0404820,MAYER UNIFIED SCHOOL DISTRICT,4,False
3303150,FREMONT SCHOOL DISTRICT,2,False
5308490,STEPTOE SCHOOL DISTRICT,0,False
3901362,ACHIEVE CAREER PREPARATORY ACADEMY,0,False
3500117,CESAR CHAVEZ COMMUNITY  CENTER,0,False
1729730,OHIO CHSD 505,2,False
3900377,FIVE R'S ACADEMY,0,True
3300049,PROSPECT MOUNTAIN SCHOOL DISTRICT,4,False
4704500,WHITE COUNTY,0,False
4833660,OLTON ISD,0,False
3301890,BETHLEHEM SCHOOL DISTRICT,4,False
5101860,HARRISONBURG CITY PBLC SCHS,4,False
3200450,STOREY COUNTY SCHOOL DISTRICT,2,False
5900087,,4,False
3008470,DEER CREEK ELEM,4,False
